,Lengh,At Symbol,Domain,Count,ID
acs@advmail.georgetown.edu,26,4,advmail.georgetown.edu,0,65
advancementevents@advmail.georgetown.edu,40,18,advmail.georgetown.edu,0,66
alumnlaw@advmail.georgetown.edu,31,9,advmail.georgetown.edu,0,67
ClubofDC@advmail.georgetown.edu,31,9,advmail.georgetown.edu,0,68
giftplanning@advmail.georgetown.edu,35,13,advmail.georgetown.edu,0,69
giving@advmail.georgetown.edu,29,7,advmail.georgetown.edu,0,70
guaanominations@advmail.georgetown.edu,38,16,advmail.georgetown.edu,0,71
guevents@advmail.georgetown.edu,31,9,advmail.georgetown.edu,0,72
libraryassociates@advmail.georgetown.edu,40,18,advmail.georgetown.edu,0,73
mmevents@advmail.georgetown.edu,31,9,advmail.georgetown.edu,0,74
newsinbrief@advmail.georgetown.edu,34,12,advmail.georgetown.edu,0,75
presidentsoffice@advmail.georgetown.edu,39,17,advmail.georgetown.edu,0,76
