,Lengh,At Symbol,Domain,Count
905energycall@googlegroups.com,30,14,googlegroups.com,0
905energycall@googlegroups.com,30,14,googlegroups.com,0
Alecexposed@googlegroups.com,28,12,googlegroups.com,0
american-progress-alumni-network+noreply@googlegroups.com,57,41,googlegroups.com,0
american-progress-alumni-network@googlegroups.com,49,33,googlegroups.com,0
battlecomms@googlegroups.com,28,12,googlegroups.com,0
bigcampaign@googlegroups.com,28,12,googlegroups.com,0
Bigcampaign@googlegroups.com,28,12,googlegroups.com,0
blog-cabal@googlegroups.com,27,11,googlegroups.com,0
cleanenergycomms@googlegroups.com,33,17,googlegroups.com,0
diggers-union@googlegroups.com,30,14,googlegroups.com,0
faithblogs@googlegroups.com,27,11,googlegroups.com,0
healthlist@googlegroups.com,27,11,googlegroups.com,0
HRCrapid@googlegroups.com,25,9,googlegroups.com,0
hrcrapid@googlegroups.com,25,9,googlegroups.com,0
insidersout@googlegroups.com,28,12,googlegroups.com,0
iraqcampaign@googlegroups.com,29,13,googlegroups.com,0
Iraqcampaign@googlegroups.com,29,13,googlegroups.com,0
jobsthatareleft@googlegroups.com,32,16,googlegroups.com,0
laborcom@googlegroups.com,25,9,googlegroups.com,0
noi-jobs@googlegroups.com,25,9,googlegroups.com,0
progressivefactcheck@googlegroups.com,37,21,googlegroups.com,0
progressnow@googlegroups.com,28,12,googlegroups.com,0
realbankreform@googlegroups.com,31,15,googlegroups.com,0
researchalliance2008@googlegroups.com,37,21,googlegroups.com,0
stormtrackers2@googlegroups.com,31,15,googlegroups.com,0
stormtrackers@googlegroups.com,30,14,googlegroups.com,0
unified-state-labor-campaign@googlegroups.com,45,29,googlegroups.com,0
virtualwar-room@googlegroups.com,32,16,googlegroups.com,0
Virtualwar-room@googlegroups.com,32,16,googlegroups.com,0
hrcrapid@googlegroups.com ,26,9,googlegroups.com ,0
bigcampaign@googlegroups.com ,29,12,googlegroups.com ,0
american-progress-alumni-network@googlegroups.com ,50,33,googlegroups.com ,0
bigcampaign@googlegroups.com ,29,12,googlegroups.com ,0
hrcrapid@googlegroups.com ,26,9,googlegroups.com ,0
HRCRapid@googlegroups.com ,26,9,googlegroups.com ,0
